ID,MLSFC_NM,POI_ID,POI_NM,CL_CD,CL_NM,CTPRVN_NM,SIGNGU_NM,위도,경도
241,문화시설,1109229,갤러리피치,100106,소형갤러리,서울특별시,강남구,37.526359,127.0501611
242,문화시설,110997,문래예술공장,100203,공연/연극/문화센터,서울특별시,영등포구,37.51323322,126.9001098
243,문화시설,1111413,네오아트홀,100203,공연/연극/문화센터,서울특별시,서초구,37.50155354,127.0254159
244,문화시설,1111443,아트포럼뉴게이트,100103,기타전시/박물관,서울특별시,종로구,37.58287326,127.0002755
245,문화시설,1112438,가스펠재즈,100203,공연/연극/문화센터,서울특별시,강남구,37.49994894,127.039744
246,문화시설,1113915,김수영문학관,100103,기타전시/박물관,서울특별시,도봉구,37.65993243,127.0238034
247,문화시설,1119648,갤러리이룸,100106,소형갤러리,서울특별시,중구,37.56188251,126.9900937
248,문화시설,1122496,FIFTYFIFTY,100106,소형갤러리,서울특별시,강남구,37.52016388,127.0238525
249,문화시설,1124029,예스24스테이지,100203,공연/연극/문화센터,서울특별시,종로구,37.58277737,127.0032268
250,문화시설,1128271,CGV신한카드아트홀,100203,공연/연극/문화센터,서울특별시,영등포구,37.51750843,126.902887
251,문화시설,1129484,63스퀘어63왁스뮤지엄,100103,기타전시/박물관,서울특별시,영등포구,37.51961891,126.9398777
252,문화시설,1131512,세종문화회관M씨어터,100203,공연/연극/문화센터,서울특별시,종로구,37.57253642,126.9756864
253,문화시설,1131956,한국가곡예술마을나음아트홀,100203,공연/연극/문화센터,서울특별시,강남구,37.47487739,127.0508175
254,문화시설,1132066,댕로홀,100203,공연/연극/문화센터,서울특별시,종로구,37.58185433,127.0037264
255,문화시설,1132370,베짱이홀,100203,공연/연극/문화센터,서울특별시,마포구,37.54846776,126.9215507
256,문화시설,1134823,중소기업역사박물관,100103,기타전시/박물관,서울특별시,마포구,37.57688377,126.8977627
257,문화시설,1135600,트릭월드,100105,미술관,서울특별시,중구,37.56258696,126.9841282
258,문화시설,1135841,변종하기념미술관,100105,미술관,서울특별시,성북구,37.59825176,126.9859934
259,문화시설,1136788,BM아트센터,100203,공연/연극/문화센터,서울특별시,마포구,37.54724964,126.9105337
