연도,CTPRVN_NM,SIGNGU_NM,SIGNGU_CD,POPLTN_CO,CL_NM,N10S_CLTUR_IDEX_VALUE,N20S_CLTUR_IDEX_VALUE,N30S_CLTUR_IDEX_VALUE,N40S_CLTUR_IDEX_VALUE,N50S_CLTUR_IDEX_VALUE,N60S_CLTUR_IDEX_VALUE,N70S_CLTUR_IDEX_VALUE,FILE_NM,BASE_DE
2020,서울특별시,강북구,11305,308569,공연장,73.5,73.5,57.0,39.9,28.8,9.6,9.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,강서구,11500,581909,공연장,24.5,24.5,19.0,13.3,9.6,3.2,3.2,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,광진구,11215,347285,공연장,171.5,171.5,133.0,93.1,67.2,22.4,22.4,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,구로구,11530,405194,공연장,171.5,171.5,133.0,93.1,67.2,22.4,22.4,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,금천구,11545,232003,공연장,49.0,49.0,38.0,26.6,19.2,6.4,6.4,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,노원구,11350,523708,공연장,73.5,73.5,57.0,39.9,28.8,9.6,9.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,도봉구,11320,326082,공연장,73.5,73.5,57.0,39.9,28.8,9.6,9.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,동대문구,11230,343377,공연장,73.5,73.5,57.0,39.9,28.8,9.6,9.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,동작구,11590,391896,공연장,122.5,122.5,95.0,66.5,48.0,16.0,16.0,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,마포구,11440,372320,공연장,661.5,661.5,513.0,359.1,259.2,86.4,86.4,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,서대문구,11410,312325,공연장,318.5,318.5,247.0,172.9,124.8,41.6,41.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,서초구,11650,425431,공연장,441.0,441.0,342.0,239.4,172.8,57.6,57.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,성동구,11200,294272,공연장,245.0,245.0,190.0,133.0,96.0,32.0,32.0,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,성북구,11290,438051,공연장,343.0,343.0,266.0,186.2,134.4,44.8,44.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,송파구,11710,668498,공연장,98.0,98.0,76.0,53.2,38.4,12.8,12.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,양천구,11470,455058,공연장,98.0,98.0,76.0,53.2,38.4,12.8,12.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,영등포구,11560,378276,공연장,220.5,220.5,171.0,119.7,86.4,28.8,28.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,용산구,11170,230151,공연장,245.0,245.0,190.0,133.0,96.0,32.0,32.0,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,은평구,11380,480617,공연장,73.5,73.5,57.0,39.9,28.8,9.6,9.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,종로구,11110,149549,공연장,3332.0,3332.0,2584.0,1808.8,1305.6,435.2,435.2,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,중구,11140,125505,공연장,612.5,612.5,475.0,332.5,240.0,80.0,80.0,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,중랑구,11260,395194,공연장,24.5,24.5,19.0,13.3,9.6,3.2,3.2,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,강남구,11680,539838,전시관,58.4,58.4,49.6,30.4,25.6,19.6,19.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,강서구,11500,581909,전시관,14.6,14.6,12.4,7.6,6.4,4.9,4.9,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,관악구,11620,496059,전시관,29.2,29.2,24.8,15.2,12.8,9.8,9.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,노원구,11350,523708,전시관,29.2,29.2,24.8,15.2,12.8,9.8,9.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,서초구,11650,425431,전시관,73.0,73.0,62.0,38.0,32.0,24.5,24.5,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,성동구,11200,294272,전시관,29.2,29.2,24.8,15.2,12.8,9.8,9.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,성북구,11290,438051,전시관,14.6,14.6,12.4,7.6,6.4,4.9,4.9,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,송파구,11710,668498,전시관,29.2,29.2,24.8,15.2,12.8,9.8,9.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,영등포구,11560,378276,전시관,14.6,14.6,12.4,7.6,6.4,4.9,4.9,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,용산구,11170,230151,전시관,73.0,73.0,62.0,38.0,32.0,24.5,24.5,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,은평구,11380,480617,전시관,14.6,14.6,12.4,7.6,6.4,4.9,4.9,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,종로구,11110,149549,전시관,277.4,277.4,235.6,144.4,121.6,93.1,93.1,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,중구,11140,125505,전시관,29.2,29.2,24.8,15.2,12.8,9.8,9.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,강남구,11680,539838,박물관,70.0,70.0,94.5,76.3,51.8,37.1,37.1,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,강동구,11740,458604,박물관,20.0,20.0,27.0,21.8,14.8,10.6,10.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,강북구,11305,308569,박물관,30.0,30.0,40.5,32.7,22.2,15.9,15.9,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,강서구,11500,581909,박물관,20.0,20.0,27.0,21.8,14.8,10.6,10.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,관악구,11620,496059,박물관,20.0,20.0,27.0,21.8,14.8,10.6,10.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
